bus_no,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
13,NBSTC -SLG-ROH-DJL-01-7:00,Non AC Seater 2+2,07:00,03h 00m,10:00,3.5,105,4
13,NBSTC -SLG-ROH-DJL-02-8:00,Non AC Seater 2+2,08:00,03h 00m,11:00,3.9,105,9
14,NORTH BENGAL STATE TRANSPORT CORPORATION,Non AC Seater (2+3),15:00,10h 30m,01:30,3.7,315,49
14,NBSTC-KOL-APD-E1-19:00,Non AC Seater (2+3),16:00,09h 30m,01:30,3.6,315,44
14,NBSTC-KOL-COB-R1-17:00,Non AC Seater 2+2,17:00,07h 30m,00:30,3.4,341,30
14,NBSTC-KOL-SLG-R1-18:00,NON A/C Seater Push Back (2+2),18:00,09h 00m,03:00,4.4,341,26
14,NBSTC-KOL-RAI-R1-20:30,NON A/C Seater Push Back (2+2),20:45,10h 00m,06:45,3.7,341,30
14,Lokenath Bus Service,Volvo A/C Seater (2+2),21:00,09h 30m,06:30,4.4,760,33
14,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),19:30,08h 50m,04:20,4.7,1200,41
14,Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),18:30,09h 20m,03:50,4.3,1200,37
14,Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,10h 50m,05:20,4.4,1049,34
14,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:00,10h 50m,04:50,4.6,1500,34
14,Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),18:15,09h 15m,03:30,3.7,1200,13
14,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,10h 15m,05:00,4.4,1200,32
14,Lokenath Bus Service,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),20:00,08h 45m,04:45,4.9,900,37
14,EASY RIDE,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,10h 10m,04:55,4.8,1500,10
14,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),18:00,09h 00m,03:00,4.1,786,41
14,Rubi Paribahan  ,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),18:00,10h 00m,04:00,4.6,1199,41
14,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),18:30,10h 00m,04:30,2.6,1166,48
14,Aradhana Bus Service,NON A/C Seater / Sleeper (2+2),16:45,10h 45m,03:30,2.4,713,39
14,Lokenath Bus Service,NON A/C Seater / Sleeper (2+2),21:30,10h 30m,08:00,2.9,500,12
14,Maa Durga Bus Service,NON A/C Seater / Sleeper (2+2),19:00,11h 15m,06:15,2.5,600,15
14,Maulik Paribahan,A/C Seater / Sleeper (2+2),18:30,09h 00m,03:30,2.3,1000,50
15,NBSTC-RAI-KOL-R1-19:30,NON A/C Seater Push Back (2+2),19:30,10h 00m,05:30,4.0,341,35
15,Lokenath Bus Service,Volvo A/C Seater (2+2),20:50,09h 40m,06:30,4.4,760,35
15,Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),22:15,09h 05m,07:20,4.7,1200,41
15,Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),22:15,08h 55m,07:10,4.4,999,26
15,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:30,08h 15m,07:45,4.8,1050,29
15,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:45,08h 20m,06:05,4.3,1500,19
15,Modern Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:10,08h 20m,07:30,3.9,825,33
15,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),23:15,08h 35m,07:50,4.6,1200,56
15,Rubi Paribahan  ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:30,08h 00m,07:30,4.7,1499,30
15,EASY RIDE,Volvo 9600 Multi-Axle A/C Sleeper (2+1),22:45,08h 40m,07:25,4.7,1500,22
15,Lokenath Bus Service,NON A/C Seater / Sleeper (2+2),19:45,11h 15m,07:00,2.9,500,11
15,Maa Durga Bus Service,Non AC Seater (2+2),23:00,09h 00m,08:00,2.5,600,14
15,Aradhana Bus Service,NON A/C Seater / Sleeper (2+2),19:15,11h 15m,06:30,2.4,665,33
15,Maulik Paribahan,A/C Seater / Sleeper (2+2),22:15,07h 45m,06:00,2.3,1000,50
16,NORTH BENGAL STATE TRANSPORT CORPORATION,Non AC Seater (2+3),09:00,09h 00m,18:00,2.7,256,46
16,NORTH BENGAL STATE TRANSPORT CORPORATION,Non AC Seater (2+3),15:00,08h 45m,23:45,3.7,256,48
16,NBSTC-KOL-APD-E1-19:00,Non AC Seater (2+3),16:00,08h 05m,00:05,3.3,256,43
16,NBSTC-KOL-COB-R1-17:00,Non AC Seater 2+2,17:00,08h 17m,01:17,3.5,281,30
